1989	-25595	1561	32384	-24064	-32320	-28605	-5078	6368468	6373858	0	0	0	0
-446	-10600	-285	32470	-13484	-17138	-15207	-3727	6375973	0	0	0	0	0
7495	25077	8751	32506	32767	32439	32455	7297	6375981	0	0	0	0	0
3203	16924	5203	32767	32594	32497	32494	3587	6378462	0	0	0	0	0
-2345	-20510	-2286	32458	-12935	-28418	-16710	-7665	6378467	0	0	0	0	0
-14623	-18511	-14651	32548	-21315	-26889	-22208	-18024	6383461	0	0	0	0	0
-2545	16779	-1683	32536	27459	28665	29495	-3939	6383467	6390068	0	0	0	0
-509	23134	1697	32665	32562	32767	32745	759	6417239	0	0	0	0	0
-6517	-13189	-5955	32549	-793	-15276	-1755	-9680	6419728	0	0	0	0	0
-12061	-25794	-11530	32723	-29483	-32316	-29043	-14212	6419735	0	0	0	0	0
-3359	7205	-2442	32485	10807	12206	14141	-3535	6419740	0	0	0	0	0
-931	27649	1283	32579	32645	32698	32767	1215	6419744	0	0	0	0	0
-4562	-2565	-3550	32647	15615	159	13669	-6401	6422227	0	0	0	0	0
-6233	-28396	-6105	32467	-29542	-32317	-31019	-9190	6422233	0	0	0	0	0
871	-4142	1065	32656	-6551	-7273	-4649	-240	6422238	6423496	0	0	0	0
9100	26723	10176	32510	32491	32491	32596	9738	6424748	0	0	0	0	0
6975	7759	7713	32715	26263	15065	24736	4814	6424757	0	0	0	0	0
-2629	-26045	-2962	32460	-25967	-32327	-27979	-6657	6432246	0	0	0	0	0
-1752	-14249	-1794	32463	-21503	-22057	-20422	-3235	6432254	0	0	0	0	0
6597	22114	7159	32767	30928	32516	32513	5778	6439728	0	0	0	0	0
1344	17857	1727	32767	32389	32467	32735	-893	6439737	6440041	0	0	0	0
-9525	-19744	-9913	32709	-13902	-26389	-16979	-13779	6451120	0	0	0	0	0
-8832	-22427	-9539	32672	-29359	-32328	-32319	-12474	6451128	0	0	0	0	0
-4189	13453	-4023	32515	18873	22273	19402	-5311	6451133	0	0	0	0	0
-792	22478	544	32375	32631	32411	32507	-327	6451137	6456690	0	0	0	0
-8827	-12367	-8606	32462	-999	-13435	-4461	-12032	6484754	0	0	0	0	0
-10505	-28583	-10542	32513	-32322	-32326	-32323	-14253	6484767	0	0	0	0	0
-5913	2229	-5414	32716	-1291	3787	2444	-6746	6487247	6489978	0	0	0	0
-3260	24749	-2216	32470	32524	32654	32484	-2665	6494750	0	0	0	0	0
-5343	-2192	-4618	32516	7555	-833	10009	-7119	6494763	0	0	0	0	0
-7715	-26813	-8095	32545	-32306	-32325	-32313	-10974	6494768	0	0	0	0	0
-234	-5387	-701	32668	-19424	-13289	-13670	-2055	6497246	0	0	0	0	0
7080	28028	7681	32469	32407	32520	32472	6942	6497258	0	0	0	0	0
6375	13645	6633	32618	23151	20574	25123	3881	6499872	0	0	0	0	0
